ENSG00000252365	ENSXETG00000029272	ENSDARG00000083784
ENSG00000012211	ENSXETG00000030869	ENSDARG00000073996
ENSG00000128989	ENSXETG00000027097	ENSDARG00000039880
ENSG00000128989	ENSXETG00000027097	ENSDARG00000032532
ENSG00000170426	ENSXETG00000025416	ENSDARG00000019260
ENSG00000170426	ENSXETG00000004409	ENSDARG00000019260
ENSG00000170426	ENSXETG00000015108	ENSDARG00000019260
ENSG00000170426	ENSXETG00000004411	ENSDARG00000019260
ENSG00000170426	ENSXETG00000033315	ENSDARG00000019260
ENSG00000170426	ENSXETG00000004415	ENSDARG00000019260
ENSG00000170426	ENSXETG00000025417	ENSDARG00000019260
ENSG00000170426	ENSXETG00000004408	ENSDARG00000019260
ENSG00000084754	ENSXETG00000026457	ENSDARG00000057128
ENSG00000084754	ENSXETG00000026457	ENSDARG00000060594
ENSG00000206633	ENSXETG00000029389	ENSDARG00000086774
ENSG00000198974	ENSXETG00000029159	ENSDARG00000081529
ENSG00000207962	ENSXETG00000029141	ENSDARG00000080952
ENSG00000102901	ENSXETG00000034252	ENSDARG00000091271
ENSG00000117461	ENSXETG00000003253	ENSDARG00000034409
ENSG00000200288	ENSXETG00000029746	ENSDARG00000081850
ENSG00000169682	ENSXETG00000026484	ENSDARG00000011925
ENSG00000169682	ENSXETG00000026482	ENSDARG00000011925
ENSG00000169682	ENSXETG00000002181	ENSDARG00000011925
ENSG00000169682	ENSXETG00000002619	ENSDARG00000011925
ENSG00000169682	ENSXETG00000009412	ENSDARG00000011925
ENSG00000169682	ENSXETG00000008338	ENSDARG00000011925
ENSG00000169682	ENSXETG00000009415	ENSDARG00000011925
ENSG00000169682	ENSXETG00000032939	ENSDARG00000011925
ENSG00000169682	ENSXETG00000026478	ENSDARG00000011925
ENSG00000169682	ENSXETG00000024218	ENSDARG00000011925
ENSG00000169682	ENSXETG00000022364	ENSDARG00000011925
ENSG00000169682	ENSXETG00000015158	ENSDARG00000011925
ENSG00000139547	ENSXETG00000025416	ENSDARG00000019260
ENSG00000139547	ENSXETG00000004409	ENSDARG00000019260
ENSG00000139547	ENSXETG00000015108	ENSDARG00000019260
ENSG00000139547	ENSXETG00000004411	ENSDARG00000019260
ENSG00000139547	ENSXETG00000033315	ENSDARG00000019260
ENSG00000139547	ENSXETG00000004415	ENSDARG00000019260
ENSG00000139547	ENSXETG00000025417	ENSDARG00000019260
ENSG00000139547	ENSXETG00000004408	ENSDARG00000019260
ENSG00000255587	ENSXETG00000001699	ENSDARG00000028389
ENSG00000126106	ENSXETG00000001053	ENSDARG00000038789
ENSG00000159111	ENSXETG00000014749	ENSDARG00000045091
ENSG00000083290	ENSXETG00000032595	ENSDARG00000097205
ENSG00000160013	ENSXETG00000018270	ENSDARG00000038278
ENSG00000053747	ENSXETG00000015102	ENSDARG00000022615
ENSG00000053747	ENSXETG00000015102	ENSDARG00000071462
ENSG00000179270	ENSXETG00000032261	ENSDARG00000095802
ENSG00000138615	ENSXETG00000006650	ENSDARG00000053362
ENSG00000124772	ENSXETG00000017865	ENSDARG00000070919
ENSG00000124772	ENSXETG00000017865	ENSDARG00000061466
ENSG00000213121	ENSXETG00000032833	ENSDARG00000090265
ENSG00000213121	ENSXETG00000032833	ENSDARG00000091334
ENSG00000213121	ENSXETG00000032833	ENSDARG00000087038
ENSG00000213121	ENSXETG00000032833	ENSDARG00000076494
ENSG00000213121	ENSXETG00000002021	ENSDARG00000090265
ENSG00000213121	ENSXETG00000002021	ENSDARG00000091334
ENSG00000213121	ENSXETG00000002021	ENSDARG00000087038
ENSG00000213121	ENSXETG00000002021	ENSDARG00000076494
ENSG00000213121	ENSXETG00000034134	ENSDARG00000090265
ENSG00000213121	ENSXETG00000034134	ENSDARG00000091334
ENSG00000213121	ENSXETG00000034134	ENSDARG00000087038
ENSG00000213121	ENSXETG00000034134	ENSDARG00000076494
ENSG00000213121	ENSXETG00000032308	ENSDARG00000090265
ENSG00000213121	ENSXETG00000032308	ENSDARG00000091334
ENSG00000213121	ENSXETG00000032308	ENSDARG00000087038
ENSG00000213121	ENSXETG00000032308	ENSDARG00000076494
ENSG00000213121	ENSXETG00000033831	ENSDARG00000090265
ENSG00000213121	ENSXETG00000033831	ENSDARG00000091334
ENSG00000213121	ENSXETG00000033831	ENSDARG00000087038
ENSG00000213121	ENSXETG00000033831	ENSDARG00000076494
ENSG00000213121	ENSXETG00000034016	ENSDARG00000090265
ENSG00000213121	ENSXETG00000034016	ENSDARG00000091334
ENSG00000213121	ENSXETG00000034016	ENSDARG00000087038
ENSG00000213121	ENSXETG00000034016	ENSDARG00000076494
ENSG00000213121	ENSXETG00000030237	ENSDARG00000090265
ENSG00000213121	ENSXETG00000030237	ENSDARG00000091334
ENSG00000213121	ENSXETG00000030237	ENSDARG00000087038
ENSG00000213121	ENSXETG00000030237	ENSDARG00000076494
ENSG00000213121	ENSXETG00000030860	ENSDARG00000090265
ENSG00000213121	ENSXETG00000030860	ENSDARG00000091334
ENSG00000213121	ENSXETG00000030860	ENSDARG00000087038
ENSG00000213121	ENSXETG00000030860	ENSDARG00000076494
ENSG00000213121	ENSXETG00000033469	ENSDARG00000090265
ENSG00000213121	ENSXETG00000033469	ENSDARG00000091334
ENSG00000213121	ENSXETG00000033469	ENSDARG00000087038
ENSG00000213121	ENSXETG00000033469	ENSDARG00000076494
ENSG00000213121	ENSXETG00000031743	ENSDARG00000090265
ENSG00000213121	ENSXETG00000031743	ENSDARG00000091334
ENSG00000213121	ENSXETG00000031743	ENSDARG00000087038
ENSG00000213121	ENSXETG00000031743	ENSDARG00000076494
ENSG00000213121	ENSXETG00000032645	ENSDARG00000090265
ENSG00000213121	ENSXETG00000032645	ENSDARG00000091334
ENSG00000213121	ENSXETG00000032645	ENSDARG00000087038
ENSG00000213121	ENSXETG00000032645	ENSDARG00000076494
ENSG00000251988	ENSXETG00000033693	ENSDARG00000084894
ENSG00000062598	ENSXETG00000007361	ENSDARG00000063527
ENSG00000206910	ENSXETG00000029860	ENSDARG00000084449
ENSG00000206910	ENSXETG00000029860	ENSDARG00000083842
ENSG00000111962	ENSXETG00000030506	ENSDARG00000006044
ENSG00000167414	ENSXETG00000032092	ENSDARG00000042970
ENSG00000164023	ENSXETG00000019854	ENSDARG00000036897
ENSG00000164023	ENSXETG00000019854	ENSDARG00000052520
ENSG00000160868	ENSXETG00000034144	ENSDARG00000045627
ENSG00000160868	ENSXETG00000034144	ENSDARG00000015575
ENSG00000160868	ENSXETG00000034144	ENSDARG00000037874
ENSG00000160868	ENSXETG00000034144	ENSDARG00000070021
ENSG00000160868	ENSXETG00000034144	ENSDARG00000037873
ENSG00000122035	ENSXETG00000030983	ENSDARG00000046013
ENSG00000164128	ENSXETG00000004903	ENSDARG00000037411
ENSG00000130758	ENSXETG00000016998	ENSDARG00000055672
ENSG00000122958	ENSXETG00000008848	ENSDARG00000056549
ENSG00000204822	ENSXETG00000027254	ENSDARG00000087851
ENSG00000204822	ENSXETG00000027254	ENSDARG00000008920
ENSG00000115425	ENSXETG00000000470	ENSDARG00000055976
ENSG00000170043	ENSXETG00000009070	ENSDARG00000039005
ENSG00000100109	ENSXETG00000003784	ENSDARG00000056932
ENSG00000125347	ENSXETG00000016586	ENSDARG00000032768
ENSG00000143727	ENSXETG00000027987	ENSDARG00000076486
ENSG00000212611	ENSXETG00000029283	ENSDARG00000080156
ENSG00000218819	ENSXETG00000007137	ENSDARG00000014039
ENSG00000167302	ENSXETG00000015400	ENSDARG00000071406
ENSG00000135525	ENSXETG00000002479	ENSDARG00000078241
ENSG00000135525	ENSXETG00000002479	ENSDARG00000054844
ENSG00000082515	ENSXETG00000019403	ENSDARG00000060798
ENSG00000219073	ENSXETG00000017927	ENSDARG00000092890
ENSG00000136631	ENSXETG00000015753	ENSDARG00000061180
ENSG00000101193	ENSXETG00000006105	ENSDARG00000022768
ENSG00000101193	ENSXETG00000006105	ENSDARG00000037589
ENSG00000085719	ENSXETG00000013714	ENSDARG00000013175
ENSG00000103126	ENSXETG00000012143	ENSDARG00000026534
ENSG00000138617	ENSXETG00000006648	ENSDARG00000018593
ENSG00000122034	ENSXETG00000032930	ENSDARG00000071583
ENSG00000122034	ENSXETG00000032930	ENSDARG00000030267
ENSG00000122034	ENSXETG00000032930	ENSDARG00000040022
ENSG00000201998	ENSXETG00000029286	ENSDARG00000083454
ENSG00000201998	ENSXETG00000029286	ENSDARG00000082611
ENSG00000201998	ENSXETG00000029289	ENSDARG00000083454
ENSG00000201998	ENSXETG00000029289	ENSDARG00000082611
ENSG00000119771	ENSXETG00000018212	ENSDARG00000043799
ENSG00000119771	ENSXETG00000018212	ENSDARG00000087688
ENSG00000187024	ENSXETG00000009980	ENSDARG00000031047
ENSG00000164129	ENSXETG00000004893	ENSDARG00000005780
ENSG00000222240	ENSXETG00000028764	ENSDARG00000081270
ENSG00000155016	ENSXETG00000021106	ENSDARG00000026548
ENSG00000073711	ENSXETG00000018927	ENSDARG00000077722
ENSG00000113318	ENSXETG00000022941	ENSDARG00000086810
ENSG00000113318	ENSXETG00000022941	ENSDARG00000063276
ENSG00000208839	ENSXETG00000029605	ENSDARG00000080450
ENSG00000215616	ENSXETG00000023116	ENSDARG00000074033
ENSG00000145990	ENSXETG00000025401	ENSDARG00000061363
ENSG00000142789	ENSXETG00000017927	ENSDARG00000092890
ENSG00000151005	ENSXETG00000026656	ENSDARG00000006019
ENSG00000148773	ENSXETG00000005185	ENSDARG00000091150
ENSG00000112038	ENSXETG00000008401	ENSDARG00000039434
ENSG00000168067	ENSXETG00000016541	ENSDARG00000001234
ENSG00000168067	ENSXETG00000016541	ENSDARG00000088706
ENSG00000168067	ENSXETG00000016541	ENSDARG00000033444
ENSG00000168067	ENSXETG00000021801	ENSDARG00000001234
ENSG00000168067	ENSXETG00000021801	ENSDARG00000088706
ENSG00000168067	ENSXETG00000021801	ENSDARG00000033444
ENSG00000168067	ENSXETG00000013232	ENSDARG00000001234
ENSG00000168067	ENSXETG00000013232	ENSDARG00000088706
ENSG00000168067	ENSXETG00000013232	ENSDARG00000033444
ENSG00000168067	ENSXETG00000033988	ENSDARG00000001234
ENSG00000168067	ENSXETG00000033988	ENSDARG00000088706
ENSG00000168067	ENSXETG00000033988	ENSDARG00000033444
ENSG00000115295	ENSXETG00000032979	ENSDARG00000096961
ENSG00000115295	ENSXETG00000032979	ENSDARG00000033426
ENSG00000101194	ENSXETG00000012454	ENSDARG00000042954
ENSG00000101194	ENSXETG00000012454	ENSDARG00000011049
ENSG00000175745	ENSXETG00000011594	ENSDARG00000052695
ENSG00000117472	ENSXETG00000004371	ENSDARG00000052027
ENSG00000003137	ENSXETG00000021546	ENSDARG00000077121
ENSG00000175602	ENSXETG00000026154	ENSDARG00000061543
ENSG00000168036	ENSXETG00000013848	ENSDARG00000014571
ENSG00000198498	ENSXETG00000004891	ENSDARG00000008068
ENSG00000164175	ENSXETG00000002556	ENSDARG00000002593
ENSG00000073464	ENSXETG00000015727	ENSDARG00000035808
ENSG00000252212	ENSXETG00000029686	ENSDARG00000083104
ENSG00000211514	ENSXETG00000029213	ENSDARG00000082262
ENSG00000047346	ENSXETG00000006354	ENSDARG00000040452
ENSG00000129484	ENSXETG00000001748	ENSDARG00000079202
ENSG00000152700	ENSXETG00000010408	ENSDARG00000042794
ENSG00000175592	ENSXETG00000020606	ENSDARG00000079373
ENSG00000175592	ENSXETG00000020606	ENSDARG00000015355
ENSG00000175592	ENSXETG00000020606	ENSDARG00000087620
ENSG00000174521	ENSXETG00000031820	ENSDARG00000068421
ENSG00000174498	ENSXETG00000033022	ENSDARG00000075158
ENSG00000139370	ENSXETG00000023742	ENSDARG00000000384
ENSG00000174136	ENSXETG00000023880	ENSDARG00000079323
ENSG00000174136	ENSXETG00000023880	ENSDARG00000074845
ENSG00000174136	ENSXETG00000023880	ENSDARG00000034013
ENSG00000226650	ENSXETG00000005552	ENSDARG00000005462
ENSG00000226650	ENSXETG00000011448	ENSDARG00000005462
ENSG00000110844	ENSXETG00000000580	ENSDARG00000087882
ENSG00000105287	ENSXETG00000011427	ENSDARG00000013544
ENSG00000105287	ENSXETG00000011427	ENSDARG00000087018
ENSG00000105287	ENSXETG00000011427	ENSDARG00000086199
ENSG00000105287	ENSXETG00000011427	ENSDARG00000090158
ENSG00000105287	ENSXETG00000011427	ENSDARG00000090684
ENSG00000259164	ENSXETG00000011071	ENSDARG00000078095
ENSG00000259164	ENSXETG00000011071	ENSDARG00000075397
ENSG00000259164	ENSXETG00000011071	ENSDARG00000068374
ENSG00000207647	ENSXETG00000029191	ENSDARG00000081163
ENSG00000207647	ENSXETG00000029191	ENSDARG00000083395
ENSG00000145002	ENSXETG00000033667	ENSDARG00000054950
ENSG00000109458	ENSXETG00000017549	ENSDARG00000037018
ENSG00000201758	ENSXETG00000028764	ENSDARG00000081270
ENSG00000151611	ENSXETG00000023685	ENSDARG00000060383
ENSG00000070831	ENSXETG00000004743	ENSDARG00000086249
ENSG00000070831	ENSXETG00000004743	ENSDARG00000057869
ENSG00000070831	ENSXETG00000004743	ENSDARG00000044573
ENSG00000070831	ENSXETG00000004743	ENSDARG00000040158
ENSG00000138796	ENSXETG00000021105	ENSDARG00000030765
ENSG00000160401	ENSXETG00000004470	ENSDARG00000090068
ENSG00000165548	ENSXETG00000011072	ENSDARG00000004158
ENSG00000207166	ENSXETG00000029415	ENSDARG00000084784
ENSG00000207166	ENSXETG00000029415	ENSDARG00000084828
ENSG00000207166	ENSXETG00000029465	ENSDARG00000084784
ENSG00000207166	ENSXETG00000029465	ENSDARG00000084828
ENSG00000067048	ENSXETG00000015477	ENSDARG00000020573
ENSG00000067048	ENSXETG00000015477	ENSDARG00000005774
ENSG00000198625	ENSXETG00000000035	ENSDARG00000057513
ENSG00000197771	ENSXETG00000010237	ENSDARG00000055314
ENSG00000150054	ENSXETG00000004546	ENSDARG00000008366
ENSG00000107165	ENSXETG00000012905	ENSDARG00000056151
ENSG00000107165	ENSXETG00000012905	ENSDARG00000029204
ENSG00000092871	ENSXETG00000022465	ENSDARG00000056244
ENSG00000092871	ENSXETG00000022465	ENSDARG00000042833
ENSG00000153162	ENSXETG00000024635	ENSDARG00000015686
ENSG00000117016	ENSXETG00000017630	ENSDARG00000062305
ENSG00000207996	ENSXETG00000029177	ENSDARG00000083420
ENSG00000207996	ENSXETG00000029177	ENSDARG00000082938
ENSG00000137877	ENSXETG00000015800	ENSDARG00000097683
ENSG00000122375	ENSXETG00000034251	ENSDARG00000007553
ENSG00000122375	ENSXETG00000034251	ENSDARG00000053929
ENSG00000122375	ENSXETG00000034251	ENSDARG00000022098
ENSG00000145425	ENSXETG00000009396	ENSDARG00000035692
ENSG00000175573	ENSXETG00000020535	ENSDARG00000019406
ENSG00000212451	ENSXETG00000029396	ENSDARG00000080410
ENSG00000166171	ENSXETG00000010773	ENSDARG00000060501
ENSG00000135597	ENSXETG00000005123	ENSDARG00000002877
ENSG00000015532	ENSXETG00000006839	ENSDARG00000086781
ENSG00000015532	ENSXETG00000006839	ENSDARG00000059557
ENSG00000055208	ENSXETG00000021389	ENSDARG00000021509
ENSG00000125843	ENSXETG00000022150	ENSDARG00000076755
ENSG00000243156	ENSXETG00000001756	ENSDARG00000021979
ENSG00000243156	ENSXETG00000001756	ENSDARG00000097017
ENSG00000243156	ENSXETG00000001756	ENSDARG00000094732
ENSG00000199422	ENSXETG00000029912	ENSDARG00000088429
ENSG00000199422	ENSXETG00000029912	ENSDARG00000086105
ENSG00000199422	ENSXETG00000029912	ENSDARG00000090273
ENSG00000199422	ENSXETG00000029912	ENSDARG00000084089
ENSG00000145416	ENSXETG00000017063	ENSDARG00000037487
ENSG00000271886	ENSXETG00000029084	ENSDARG00000081815
ENSG00000137168	ENSXETG00000017097	ENSDARG00000015422
ENSG00000208012	ENSXETG00000029174	ENSDARG00000083258
ENSG00000086504	ENSXETG00000011564	ENSDARG00000057805
ENSG00000001036	ENSXETG00000009786	ENSDARG00000044073
ENSG00000215611	ENSXETG00000023115	ENSDARG00000073914
ENSG00000175550	ENSXETG00000018519	ENSDARG00000041203
ENSG00000122033	ENSXETG00000031401	ENSDARG00000039649
ENSG00000135144	ENSXETG00000016413	ENSDARG00000062840
ENSG00000155760	ENSXETG00000012404	ENSDARG00000027589
ENSG00000155760	ENSXETG00000012404	ENSDARG00000060004
ENSG00000125533	ENSXETG00000006104	ENSDARG00000037588
ENSG00000102003	ENSXETG00000007718	ENSDARG00000042974
ENSG00000102003	ENSXETG00000007718	ENSDARG00000002230
ENSG00000204118	ENSXETG00000013323	ENSDARG00000002400
ENSG00000238754	ENSXETG00000029835	ENSDARG00000084543
ENSG00000238754	ENSXETG00000029835	ENSDARG00000084548
ENSG00000238754	ENSXETG00000029739	ENSDARG00000084543
ENSG00000238754	ENSXETG00000029739	ENSDARG00000084548
ENSG00000238754	ENSXETG00000029644	ENSDARG00000084543
ENSG00000238754	ENSXETG00000029644	ENSDARG00000084548
ENSG00000238754	ENSXETG00000029645	ENSDARG00000084543
ENSG00000238754	ENSXETG00000029645	ENSDARG00000084548
ENSG00000159140	ENSXETG00000014115	ENSDARG00000079732
ENSG00000152495	ENSXETG00000006926	ENSDARG00000005372
ENSG00000156502	ENSXETG00000008852	ENSDARG00000077728
ENSG00000149658	ENSXETG00000027086	ENSDARG00000016447
ENSG00000186462	ENSXETG00000013323	ENSDARG00000002400
ENSG00000103742	ENSXETG00000006647	ENSDARG00000076919
ENSG00000131264	ENSXETG00000004589	ENSDARG00000036292
ENSG00000171462	ENSXETG00000010587	ENSDARG00000076247
ENSG00000101158	ENSXETG00000024187	ENSDARG00000021097
ENSG00000120549	ENSXETG00000005906	ENSDARG00000059333
ENSG00000120549	ENSXETG00000005906	ENSDARG00000031658
ENSG00000201435	ENSXETG00000028197	ENSDARG00000083303
ENSG00000207145	ENSXETG00000029746	ENSDARG00000081850
ENSG00000239264	ENSXETG00000020457	ENSDARG00000009342
ENSG00000101871	ENSXETG00000015715	ENSDARG00000060482
ENSG00000252955	ENSXETG00000033693	ENSDARG00000084894
ENSG00000144460	ENSXETG00000005150	ENSDARG00000079581
ENSG00000144460	ENSXETG00000005150	ENSDARG00000093357
ENSG00000166856	ENSXETG00000004412	ENSDARG00000036616
ENSG00000252249	ENSXETG00000029746	ENSDARG00000081850
ENSG00000085998	ENSXETG00000004370	ENSDARG00000052025
ENSG00000153922	ENSXETG00000023875	ENSDARG00000014878
ENSG00000238622	ENSXETG00000029906	ENSDARG00000080895
ENSG00000238622	ENSXETG00000029670	ENSDARG00000080895
ENSG00000137760	ENSXETG00000014487	ENSDARG00000060256
ENSG00000199085	ENSXETG00000029195	ENSDARG00000082494
ENSG00000158258	ENSXETG00000020738	ENSDARG00000060638
ENSG00000158258	ENSXETG00000020738	ENSDARG00000060637
ENSG00000101197	ENSXETG00000013316	ENSDARG00000058082
ENSG00000139517	ENSXETG00000031406	ENSDARG00000029177
ENSG00000169047	ENSXETG00000020086	ENSDARG00000054087
ENSG00000087502	ENSXETG00000000324	ENSDARG00000020224
ENSG00000087502	ENSXETG00000000324	ENSDARG00000051936
ENSG00000164073	ENSXETG00000033929	ENSDARG00000015179
ENSG00000119899	ENSXETG00000002117	ENSDARG00000055190
ENSG00000022567	ENSXETG00000023750	ENSDARG00000021820
ENSG00000022567	ENSXETG00000023750	ENSDARG00000077326
ENSG00000154359	ENSXETG00000005620	ENSDARG00000078567
ENSG00000122367	ENSXETG00000003653	ENSDARG00000019202
ENSG00000129925	ENSXETG00000012131	ENSDARG00000032795
ENSG00000167771	ENSXETG00000002710	ENSDARG00000008278
ENSG00000187969	ENSXETG00000025147	ENSDARG00000070922
ENSG00000187969	ENSXETG00000025147	ENSDARG00000045776
ENSG00000196353	ENSXETG00000001846	ENSDARG00000062754
ENSG00000196353	ENSXETG00000001846	ENSDARG00000040069
ENSG00000127311	ENSXETG00000007323	ENSDARG00000053127
ENSG00000128294	ENSXETG00000004220	ENSDARG00000001972
ENSG00000144468	ENSXETG00000020088	ENSDARG00000021046
ENSG00000200235	ENSXETG00000029625	ENSDARG00000084628
ENSG00000124523	ENSXETG00000002270	ENSDARG00000039684
ENSG00000124523	ENSXETG00000002270	ENSDARG00000078690
ENSG00000160404	ENSXETG00000005251	ENSDARG00000025612
ENSG00000150316	ENSXETG00000007076	ENSDARG00000013382
ENSG00000147100	ENSXETG00000004581	ENSDARG00000089969
ENSG00000088888	ENSXETG00000032111	ENSDARG00000069733
ENSG00000177485	ENSXETG00000004479	ENSDARG00000071467
ENSG00000207975	ENSXETG00000029170	ENSDARG00000081145
ENSG00000207975	ENSXETG00000029170	ENSDARG00000082192
ENSG00000199990	ENSXETG00000029559	ENSDARG00000088429
ENSG00000199990	ENSXETG00000029559	ENSDARG00000086105
ENSG00000199990	ENSXETG00000029559	ENSDARG00000090273
ENSG00000082212	ENSXETG00000022388	ENSDARG00000086153
ENSG00000082212	ENSXETG00000022388	ENSDARG00000015453
ENSG00000207759	ENSXETG00000029100	ENSDARG00000081893
ENSG00000207759	ENSXETG00000029100	ENSDARG00000083193
ENSG00000187109	ENSXETG00000013323	ENSDARG00000002400
ENSG00000176871	ENSXETG00000022369	ENSDARG00000058608
ENSG00000168398	ENSXETG00000013954	ENSDARG00000043664
ENSG00000168398	ENSXETG00000013954	ENSDARG00000079942
ENSG00000170382	ENSXETG00000024194	ENSDARG00000062400
ENSG00000134121	ENSXETG00000030451	ENSDARG00000076233
ENSG00000134121	ENSXETG00000030451	ENSDARG00000077881
ENSG00000169856	ENSXETG00000006349	ENSDARG00000007982
ENSG00000271907	ENSXETG00000029605	ENSDARG00000080450
ENSG00000113391	ENSXETG00000011592	ENSDARG00000052697
ENSG00000169840	ENSXETG00000011784	ENSDARG00000035735
ENSG00000169621	ENSXETG00000025938	ENSDARG00000086579
ENSG00000168621	ENSXETG00000004782	ENSDARG00000039959
ENSG00000202111	ENSXETG00000029559	ENSDARG00000088429
ENSG00000202111	ENSXETG00000029559	ENSDARG00000086105
ENSG00000202111	ENSXETG00000029559	ENSDARG00000090273
ENSG00000202515	ENSXETG00000029559	ENSDARG00000088429
ENSG00000202515	ENSXETG00000029559	ENSDARG00000086105
ENSG00000202515	ENSXETG00000029559	ENSDARG00000090273
ENSG00000127720	ENSXETG00000014540	ENSDARG00000045754
ENSG00000105221	ENSXETG00000016986	ENSDARG00000026797
ENSG00000105221	ENSXETG00000016986	ENSDARG00000011219
ENSG00000139515	ENSXETG00000011787	ENSDARG00000002779
ENSG00000004961	ENSXETG00000018924	ENSDARG00000003051
ENSG00000004961	ENSXETG00000018924	ENSDARG00000028131
ENSG00000004961	ENSXETG00000018924	ENSDARG00000095776
ENSG00000122687	ENSXETG00000012559	ENSDARG00000075368
ENSG00000253043	ENSXETG00000030543	ENSDARG00000082384
ENSG00000253043	ENSXETG00000029878	ENSDARG00000082384
ENSG00000253043	ENSXETG00000033462	ENSDARG00000082384
ENSG00000253043	ENSXETG00000034122	ENSDARG00000082384
ENSG00000253043	ENSXETG00000034069	ENSDARG00000082384
ENSG00000253043	ENSXETG00000029862	ENSDARG00000082384
ENSG00000253043	ENSXETG00000033384	ENSDARG00000082384
ENSG00000253043	ENSXETG00000032465	ENSDARG00000082384
ENSG00000253043	ENSXETG00000032586	ENSDARG00000082384
ENSG00000253043	ENSXETG00000031079	ENSDARG00000082384
ENSG00000253043	ENSXETG00000030460	ENSDARG00000082384
ENSG00000253043	ENSXETG00000033064	ENSDARG00000082384
ENSG00000253043	ENSXETG00000030449	ENSDARG00000082384
ENSG00000253043	ENSXETG00000033413	ENSDARG00000082384
ENSG00000253043	ENSXETG00000033060	ENSDARG00000082384
ENSG00000253043	ENSXETG00000033057	ENSDARG00000082384
ENSG00000253043	ENSXETG00000031708	ENSDARG00000082384
ENSG00000065548	ENSXETG00000013336	ENSDARG00000015889
ENSG00000151612	ENSXETG00000023684	ENSDARG00000076171
ENSG00000111344	ENSXETG00000016412	ENSDARG00000041515
ENSG00000111344	ENSXETG00000016412	ENSDARG00000089380
ENSG00000166860	ENSXETG00000004417	ENSDARG00000019265
ENSG00000100122	ENSXETG00000004221	ENSDARG00000068507
ENSG00000159784	ENSXETG00000010739	ENSDARG00000070952
ENSG00000159784	ENSXETG00000010739	ENSDARG00000070575
ENSG00000125618	ENSXETG00000001272	ENSDARG00000015879
ENSG00000125355	ENSXETG00000004478	ENSDARG00000073911
ENSG00000165556	ENSXETG00000011788	ENSDARG00000087811
ENSG00000175467	ENSXETG00000011429	ENSDARG00000005945
ENSG00000066136	ENSXETG00000025363	ENSDARG00000070151
ENSG00000100478	ENSXETG00000014154	ENSDARG00000054220
ENSG00000121207	ENSXETG00000026097	ENSDARG00000077652
ENSG00000121207	ENSXETG00000032352	ENSDARG00000077652
ENSG00000163449	ENSXETG00000000469	ENSDARG00000078762
ENSG00000163449	ENSXETG00000000469	ENSDARG00000027131
ENSG00000162552	ENSXETG00000004742	ENSDARG00000071208
ENSG00000127328	ENSXETG00000009042	ENSDARG00000010073
ENSG00000169057	ENSXETG00000014242	ENSDARG00000014218
ENSG00000035403	ENSXETG00000007084	ENSDARG00000044968
ENSG00000196431	ENSXETG00000004227	ENSDARG00000024548
ENSG00000197121	ENSXETG00000034065	ENSDARG00000062465
ENSG00000182208	ENSXETG00000024957	ENSDARG00000012005
ENSG00000182208	ENSXETG00000024957	ENSDARG00000023214
ENSG00000182208	ENSXETG00000024957	ENSDARG00000076548
ENSG00000106268	ENSXETG00000016542	ENSDARG00000030573
ENSG00000050030	ENSXETG00000015084	ENSDARG00000029296
ENSG00000110583	ENSXETG00000002713	ENSDARG00000090570
ENSG00000110583	ENSXETG00000002713	ENSDARG00000024109
ENSG00000166169	ENSXETG00000032755	ENSDARG00000096498
ENSG00000145850	ENSXETG00000026528	ENSDARG00000077257
ENSG00000141642	ENSXETG00000027126	ENSDARG00000045095
ENSG00000151948	ENSXETG00000023741	ENSDARG00000091241
ENSG00000163630	ENSXETG00000022240	ENSDARG00000044278
ENSG00000163630	ENSXETG00000022240	ENSDARG00000037587
ENSG00000252071	ENSXETG00000029849	ENSDARG00000081307
ENSG00000252071	ENSXETG00000029658	ENSDARG00000081307
ENSG00000122025	ENSXETG00000032628	ENSDARG00000058503
ENSG00000238999	ENSXETG00000029849	ENSDARG00000081307
ENSG00000238999	ENSXETG00000029658	ENSDARG00000081307
ENSG00000108469	ENSXETG00000032721	ENSDARG00000059556
ENSG00000196290	ENSXETG00000018172	ENSDARG00000045249
ENSG00000047648	ENSXETG00000005342	ENSDARG00000088730
ENSG00000184677	ENSXETG00000004737	ENSDARG00000091762
ENSG00000169184	ENSXETG00000002258	ENSDARG00000079248
ENSG00000169184	ENSXETG00000002258	ENSDARG00000076529
ENSG00000151962	ENSXETG00000032344	ENSDARG00000079452
ENSG00000151962	ENSXETG00000032067	ENSDARG00000079452
ENSG00000151962	ENSXETG00000022412	ENSDARG00000079452
ENSG00000144036	ENSXETG00000021542	ENSDARG00000069489
ENSG00000105329	ENSXETG00000018738	ENSDARG00000034895
ENSG00000105329	ENSXETG00000018738	ENSDARG00000041502
ENSG00000079246	ENSXETG00000032580	ENSDARG00000015599
ENSG00000079246	ENSXETG00000032580	ENSDARG00000068862
ENSG00000221983	ENSXETG00000023202	ENSDARG00000041435
ENSG00000221983	ENSXETG00000023202	ENSDARG00000086374
ENSG00000103202	ENSXETG00000010327	ENSDARG00000088390
ENSG00000142945	ENSXETG00000013598	ENSDARG00000076228
ENSG00000103966	ENSXETG00000015794	ENSDARG00000054302
ENSG00000086289	ENSXETG00000000351	ENSDARG00000045420
ENSG00000109686	ENSXETG00000009395	ENSDARG00000088202
ENSG00000109686	ENSXETG00000009395	ENSDARG00000086407
